"CCODE" "COUNTRY" "YEAR" "RENT" "NETOIL" "INCOME" "INCOMENO" "REGIONPO" "REGIONFH" "MUSLIM" "DEMSCORE" "POLITY" "POPULATI" "ELF85D" "ELF85G" "CATHOLIC" "PROTESTA" "ECONFREE" "GDPPC" "GDPPP" "TRADE" "GEO"
"1" 700 "Afghanistan" 1995 NA NA NA NA NA NA 0.98 0 NA 16.90336 0.668 0.668 0 0 NA NA NA NA "Asia"
"2" 700 "Afghanistan" 1996 NA NA NA NA NA 4.714286 0.98 0 1.8 16.95383 0.668 0.668 0 0 NA NA NA NA "Asia"
"3" 700 "Afghanistan" 1997 NA NA NA NA 8.500002 5.142857 0.98 0 1.8 16.99819 0.668 0.668 0 0 NA NA NA NA "Asia"
"4" 700 "Afghanistan" 1998 NA NA NA NA 8.4 5.285714 0.98 0 1.8 17.03642 0.668 0.668 0 0 NA NA NA NA "Asia"
"5" 700 "Afghanistan" 1999 NA NA NA NA 8.4 5.714286 0.98 0 1.8 17.06854 0.668 0.668 0 0 NA NA NA NA "Asia"
"6" 339 "Albania" 1995 NA NA NA NA NA NA 0.35 7 9 14.98644 0.064 0.064 0.116 0.002 3.53 903.9705 2785.454 46.98742 "Europe"
"7" 339 "Albania" 1996 NA 0 NA NA 10.8 10.13333 0.35 6 6 14.99908 0.064 0.064 0.116 0.002 3.63 995.5576 3068.321 47.54731 "Europe"
"8" 339 "Albania" 1997 NA 0 NA NA 10.75385 10.15556 0.35 6 9.6 15.01064 0.064 0.064 0.116 0.002 3.64 900.1144 2776.606 47.21093 "Europe"
"9" 339 "Albania" 1998 NA 0 NA NA 10.76923 10.2 0.35 5 9.6 15.02118 0.064 0.064 0.116 0.002 3.58 1018.714 3126.162 45.13491 "Europe"
"10" 339 "Albania" 1999 NA NA NA NA 10.78462 10.26667 0.35 5 9 15.03197 0.064 0.064 0.116 0.002 3.56 1123.991 3470.92 47.75507 "Europe"
"11" 615 "Algeria" 1995 0.597 0.232 7.845808 2555 NA NA 0.968 2 4.2 17.14986 0.299 0.299 0.001 0 3.68 1617.573 5003.584 55.19101 "Africa"
"12" 615 "Algeria" 1996 0.63 0.246 7.865188 2605 2.541176 2.111111 0.968 2 4.2 17.16773 0.299 0.299 0.001 0 3.7 1655.465 5132.773 53.81613 "Africa"
