"V3543" "V3547" "V3551" "INTER1" "INTER2" "INTER3" "INTER4" "INFO1" "INFO2" "DEMCAND1" "DEMCAND2" "DEMCAND3" "REPCAND1" "REPCAND2" "REPCAND3" "DEMPART1" "DEMPART2" "DEMPART3" "REPPART1" "REPPART2" "REPPART3" "PARTIES1" "PARTIES2" "PARTIES3" "INDFEEL1" "INDFEEL2" "INDFEEL3" "CARFEEL1" "CARFEEL2" "CARFEEL3" "REAFEEL1" "REAFEEL2" "REAFEEL3" "KENFEEL1" "KENFEEL2" "KENFEEL3" "NEWV121" "NEWV2125" "NEWV3213" "NEWV122" "NEWV2126" "NEWV3214" "NEWV123" "NEWV2127" "NEWV3215" "NEWV130" "NEWV2134" "NEWV3224" "NEWV131" "NEWV2135" "NEWV3225" "PARTYID1" "PARTYID2" "PARTYID3" "PARTYID4" "PARTYID" "NEWV251" "NEWV2272" "NEWV3081" "COMMUN1" "COMMUN2" "COMMUN4" "COMMALL" "EDUC" "INC" "REL" "RELFREQ" "STATUS" "STATE" "PRESTOCO" "PRESTOST" "CONGTOCO" "PDEMCONT" "PREPCONT" "PDEMSTAT" "PREPSTAT" "CDEMCONT" "CREPCONT" "RFRIENDS" "DFRIENDS" "MFRIENDS" "AGE" "SEX" "RACE" "REGION" "DIDVOTE" "VOTE" "PARTREG" "VOTEVALI"
"1" 1 1 NA 9 9 15 3 26 16 23 NA 52 NA NA 67 30 40 50 70 70 70 15 70 70 100 70 70 50 40 50 100 85 85 0 0 40 5 5 5 2 3 1 6 6 6 6 6 5 4 4 4 4 5 4 4 4 5 5 5 3 3 3 11 12 15 136 2 27 41 169760 3526400 233998 0.37798656927427 0.589149387370405 0.42961887477314 0.534623411978221 0.335883212677031 0.560479149394439 0 0 1 58 1 1 4 1 1 NA NA
"2" 5 5 5 11 15 11 5 32 32 NA NA 74 NA NA NA 100 100 85 0 0 15 100 30 85 NA 30 15 100 100 100 NA 0 NA 70 15 85 NA 2 NA NA 1 NA NA 7 NA NA 7 NA NA 1 NA 1 1 1 1 1 5 5 5 2 3 4 11 11 3 140 4 14 41 169760 3526400 233998 0.37798656927427 0.589149387370405 0.42961887477314 0.534623411978221 0.335883212677031 0.560479149394439 0 1 0 74 2 2 4 1 2 1 NA
"3" NA NA NA 7 11 7 3 20 14 NA NA NA NA NA NA 100 100 85 50 NA NA 100 NA NA NA NA NA 100 100 100 50 NA 70 0 NA 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 1 1 2 2 4 9 7 NA 140 1 NA 41 169760 3526400 233998 0.37798656927427 0.589149387370405 0.42961887477314 0.534623411978221 0.335883212677031 0.560479149394439 0 0 1 81 2 1 4 2 NA NA NA
"4" NA NA NA 11 11 3 5 24 21 NA 55 NA NA NA NA 85 85 NA 50 60 NA 50 70 NA 50 NA NA 70 85 NA 40 70 NA 70 30 NA 4 5 NA 5 4 NA 3 3 NA 2 6 NA 5 5 NA 2 2 NA 1 2 5 5 NA 2 2 2 7 12 15 123 2 27 41 169760 3526400 233998 0.37798656927427 0.589149387370405 0.42961887477314 0.534623411978221 0.335883212677031 0.560479149394439 0 0 1 47 1 2 4 1 NA 1 NA
"5" NA NA NA 9 5 5 3 18 12 NA NA 76 NA NA NA 70 85 85 75 85 70 85 100 70 85 60 80 85 70 85 70 65 80 70 65 80 NA 4 4 NA 5 5 NA 5 5 NA NA 5 NA NA 5 5 6 4 3 5 5 5 5 3 2 3 9 11 22 200 5 33 41 169760 3526400 233998 0.37798656927427 0.589149387370405 0.42961887477314 0.534623411978221 0.335883212677031 0.560479149394439 0 0 1 18 1 1 4 2 NA NA NA
"6" 5 5 5 9 3 11 5 32 20 NA NA NA NA NA NA 100 85 100 85 60 70 85 70 70 70 60 60 70 70 85 70 60 40 100 85 85 5 5 NA 7 4 NA 6 5 NA 7 5 NA 7 1 NA 2 2 2 2 2 5 5 5 2 2 3 8 12 7 123 5 19 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 1 0 37 2 2 4 1 2 1 NA
"7" NA NA NA 3 3 7 5 8 25 NA NA NA NA NA NA NA 50 15 NA 50 70 NA 50 30 NA 50 60 100 100 100 NA 85 0 100 85 70 5 NA NA 7 NA NA NA NA NA NA NA NA NA NA NA 3 4 4 5 3 4 3 5 2 2 2 7 12 6 140 2 18 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 35 2 2 4 1 2 2 NA
"8" NA 5 NA 9 7 11 5 22 32 79 NA NA NA NA NA 100 100 100 40 85 85 70 80 85 50 70 70 100 100 100 NA NA 50 85 85 85 NA 4 NA NA 1 NA NA NA NA NA 7 NA NA 1 NA 1 1 1 1 1 5 5 5 2 2 3 8 11 4 123 4 15 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 57 2 2 4 1 2 1 NA
"9" NA NA NA 3 3 3 1 20 8 NA NA NA NA NA NA 100 NA NA 0 NA NA 50 NA NA 15 NA NA 70 NA NA 50 NA NA 60 NA NA 4 NA NA 2 NA NA NA NA NA 5 NA NA 7 NA NA 2 NA NA NA 2 1 NA NA 3 2 2 8 12 17 123 3 29 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 18 2 2 4 NA NA NA NA
"10" NA NA NA 7 3 3 1 20 8 NA NA NA NA NA NA 100 NA NA NA NA NA 60 NA NA 0 NA NA 100 NA NA NA NA NA 60 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 1 1 NA NA 3 2 2 8 12 5 120 2 17 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 80 2 1 4 NA NA NA NA
"11" 5 5 NA 13 15 15 5 24 24 57 61 NA NA NA 49 100 100 100 70 60 NA 70 100 85 50 0 30 100 100 100 70 60 70 0 0 60 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 5 5 5 2 3 4 10 10 16 120 5 26 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 82 2 1 4 1 2 1 NA
"12" NA NA NA 7 3 3 1 24 8 77 NA NA NA NA NA 100 NA NA 85 NA NA 85 NA NA 85 NA NA 100 NA NA 85 NA NA 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA 2 5 NA NA 2 2 2 7 12 17 140 2 29 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 56 1 1 4 NA NA NA NA
"13" NA NA NA 11 15 11 5 40 40 37 54 46 NA NA 58 50 60 55 50 70 60 60 70 75 100 85 70 40 55 40 40 55 40 30 55 35 4 5 5 6 4 4 3 2 5 3 3 5 3 2 3 5 5 5 5 5 5 5 5 3 4 4 12 16 4 138 3 20 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 22 2 1 4 1 1 2 NA
"14" NA NA NA 3 5 5 3 16 13 52.2 NA 52 NA NA 54 50 60 60 50 45 40 50 50 40 100 60 70 50 40 60 51 60 60 51 55 50 2 3 4 5 5 3 3 NA 5 4 6 6 6 3 3 5 3 3 3 5 1 1 1 2 2 2 7 13 5 NA NA 18 41 173976 3526400 196078 0.449625235664689 0.515059548443463 0.42961887477314 0.534623411978221 0.781331918930222 0.118988361774396 0 0 1 23 1 1 4 2 NA NA NA
