"YEAR" "RCONG" "DCONG" "RPRES" "DPRES" "G" "PRCONT" "PDCONT" "TOTPRES" "TOTCONG" "RREP" "DREP" "TR" "INFLAT" "PREVINFL" "PREVGNP" "GNP" "TOTPOP18" "ELIGIBLE" "MRCONG" "MDCONG" "MRPRES" "MDPRES" "MTOTCONG" "MTOTPRES" "MTR" "VRCONG" "VDCONG" "VRPRES" "VDPRES" "VTOTCONG" "VTOTPRES" "VTR" "LMRCONG" "LMDCONG" "LRREP" "LDREP" "REPRATIO" "DRATIO" "RRATIO" "REPSHIFT" "MRATIO1" "MRATIO2" "ON" "ONR1" "ONR2" "OND1" "OND2" "ON1" "ON2" "OFF" "OFF1" "OFF2" "PRESDIF" "RPRESDIF" "LRPDIF" "LPRESDIF" "LMTCONG" "DIFOYTC" "SHIFT" "FDR" "CPOINT" "CPCGNP" "CGNP" "LGNP" "LINFLAT"
"1" 1896 6845000 6339000 7102246 6492599 1 1 0 13907000 14652000 244 105 0 25 25 62.6 61.3 40981000 19332000 0.354076143182288 0.327901924270639 0.367382888475067 0.335847248086075 0.757914338919926 0.719377198427478 0 0.467171717171717 0.432637182637183 0.484728774228774 0.443120324870325 1 0.9491536991537 0 NA NA NA NA 0.398280802292264 0.300859598853868 0.699140401146132 NA 0.757914338919926 0 1 1 0 1 0 1 0 0 0 0 1.63126631434887e-09 1.63126631434887e-09 NA NA NA NA 0 0 0 -0.0672460169666874 -1.3 NA NA
"2" 1898 5258000 5373000 0 0 0 1 0 0 11513000 204 113 0 25 25 67.1 68.6 43180000 20175000 0.260619578686493 0.26631970260223 0 0 0.570656753407683 0 0 0.456701120472509 0.466689828889082 0 0 1 0 0 0.354076143182288 0.327901924270639 244 105 0.287066246056782 0.356466876971609 0.643533123028391 -0.151419558359621 0.570656753407683 0 0 0 0 0 0 0 0 1 1 0 0 0 1.63126631434887e-09 1.63126631434887e-09 0.757914338919926 -0.328143992678668 0 0 0 0.0743494423791821 1.5 61.3 25
"3" 1900 6973000 6086000 7218491 6356734 1 1 0 13968000 13626000 185 163 0 25 25 74.8 76.9 45379000 21018000 0.33176325054715 0.289561328385194 0.343443286706632 0.302442382719574 0.648301455894947 0.664573222951756 0 0.511742257448995 0.446646117716131 0.529758623220314 0.466515044767357 1 1.02509907529723 0 0.260619578686493 0.26631970260223 204 113 0.0632183908045977 0.468390804597701 0.531609195402299 -0.198275862068966 0.648301455894947 0 1 1 0 1 0 1 0 0 0 0 1.95075192630406e-09 1.95075192630406e-09 0 0 0.570656753407683 0 0 0 0 0.0999143591207542 2.10000000000001 68.6 25
"4" 1902 5250000 4980000 0 0 0 1 0 0 10654000 197 151 0 26 25 85.7 86.5 47578000 22188000 0.236614386154678 0.224445646295295 0 0 0.480169460969894 0 0 0.492772667542707 0.467430073211939 0 0 1 0 0 0.33176325054715 0.289561328385194 185 163 0.132183908045977 0.433908045977011 0.566091954022989 0.0689655172413793 0.480169460969894 0 0 0 0 0 0 0 0 1 1 0 0 0 1.95075192630406e-09 1.95075192630406e-09 0.648301455894947 -0.350151370696179 0 0 0 0.0360555255092843 0.799999999999997 76.9 25
"5" 1904 6837000 5298000 7628461 5084223 1 1 0 13521000 12697000 208 178 0 27 26 90.8 89.7 49792000 23358000 0.292704854867711 0.226817364500385 0.326588791848617 0.217665168250706 0.543582498501584 0.578859491394811 0 0.53847365519414 0.417263920611168 0.600808143655982 0.40042710876585 1 1.0648972198157 0 0.236614386154678 0.224445646295295 197 151 0.077720207253886 0.461139896373057 0.538860103626943 -0.0414507772020725 0.543582498501584 0 1 1 0 1 0 1 0 0 0 0 4.66322560141753e-09 4.66322560141753e-09 0 0 0.480169460969894 0 0 0 0 -0.0470930730370749 -1.09999999999999 86.5 26
"6" 1906 5350000 4659000 0 0 0 1 0 0 10552000 250 136 0 27 27 96.3 107.5 52224000 24528000 0.218118069145466 0.189946183953033 0 0 0.430202217873451 0 0 0.507012888551933 0.441527672479151 0 0 1 0 0 0.292704854867711 0.226817364500385 208 178 0.295336787564767 0.352331606217617 0.647668393782383 0.217616580310881 0.430202217873451 0 0 0 0 0 0 0 0 1 1 0 0 0 4.66322560141753e-09 4.66322560141753e-09 0.543582498501584 -0.26355112995137 0 0 0 0.45662100456621 11.2 89.7 27
"7" 1908 6975000 6466000 7675320 6412294 1 1 0 14884000 14021000 222 164 0 27 28 109.2 100.2 54660000 25698000 0.271421900537007 0.251614911666278 0.298673826756946 0.249525021402444 0.545606661997043 0.57918904194879 0 0.497468083588902 0.461165394764995 0.5474160188289 0.457334997503744 1 1.06155053134584 0 0.218118069145466 0.189946183953033 250 136 0.150259067357513 0.424870466321244 0.575129533678757 -0.145077720207254 0.545606661997043 0 1 1 0 1 0 1 0 0 0 0 1.91255371447203e-09 1.91255371447203e-09 0 0 0.430202217873451 0 0 0 0 -0.350221807144525 -9 107.5 27
"8" 1910 5427000 5536000 0 0 0 1 0 0 11669000 219 172 0 28 29 116.8 120.1 57346000 26868000 0.201987494417151 0.206044365043918 0 0 0.43430847104362 0 0 0.465078412888851 0.474419401833919 0 0 1 0 0 0.271421900537007 0.251614911666278 222 164 0.120204603580563 0.439897698209719 0.560102301790281 -0.0281329923273657 0.43430847104362 0 0 0 0 0 0 0 0 1 1 0 0 0 1.91255371447203e-09 1.91255371447203e-09 0.545606661997043 -0.256265300757266 0 0 0 0.122822688700312 3.3 100.2 27
"9" 1912 6602000 6128000 3486720 6296547 1 0 1 15037000 13517000 161 228 4118571 29 28 123.2 130.2 59387000 27744000 0.237961361014994 0.220876585928489 0.125674740484429 0.226951665224914 0.487204440599769 0.541991061130334 0.148449070069204 0.488421987127321 0.453355034401125 0.257950728711992 0.465824295331804 1 1.11245098764519 0.304695642524229 0.201987494417151 0.206044365043918 219 172 -0.172236503856041 0.58611825192802 0.413881748071979 -0.29305912596401 0.487204440599769 0 1 1 0 1 0 1 0 0 0 0 -3.65040818701285e-09 -9.0010811278002e-09 0 0 0.43430847104362 0 0 0 0 0.252306805074971 6.99999999999999 120.1 28
"10" 1914 5650000 5727000 0 0 0 0 1 0 13275000 127 291 0 30.1 29.7 131.4 125.6 61907000 28620000 0.197414395527603 0.200104821802935 0 0 0.463836477987421 0 0 0.425612052730697 0.431412429378531 0 0 1 0 0 0.237961361014994 0.220876585928489 161 228 -0.392344497607655 0.696172248803828 0.303827751196172 -0.232057416267943 0.463836477987421 0 0 0 0 0 0 0 0 1 1 0 0 0 -9.0010811278002e-09 -3.65040818701285e-09 0.487204440599769 -0.0503797431235704 0 0 0 -0.202655485674354 -5.80000000000001 130.2 29
"11" 1916 7810000 7468000 8533507 9127695 1 0 1 18531000 16140000 196 230 0 32.7 30.4 124.5 134.3 63811000 29496000 0.264781665310551 0.253186872796311 0.289310652291836 0.30945534987795 0.547192839707079 0.628254678600488 0 0.483890954151177 0.46270136307311 0.52871790582404 0.565532527881041 1 1.14814126394052 0 0.197414395527603 0.200104821802935 127 291 -0.07981220657277 0.539906103286385 0.460093896713615 0.305164319248826 0.547192839707079 0 1 1 0 1 0 1 0 0 0 0 -6.82963709862808e-10 -6.82963709862808e-10 0 0 0.463836477987421 0 0 0 0 0.332248440466504 9.80000000000001 125.6 30.1
"12" 1918 6600000 5421000 0 0 0 0 1 0 12579000 210 216 0 45.1 38.4 135.2 151.8 64092000 30372000 0.217305412880284 0.178486764124852 0 0 0.414164361912288 0 0 0.524683997138087 0.430956355831147 0 0 1 0 0 0.264781665310551 0.253186872796311 196 230 -0.0140845070422535 0.507042253521127 0.492957746478873 0.0657276995305164 0.414164361912288 0 0 0 0 0 0 0 0 1 1 0 0 0 -6.82963709862808e-10 -6.82963709862808e-10 0.547192839707079 -0.32119730722501 0 0 0 0.546556038456474 16.6 134.3 32.7
